11, 11938, 1, 1048576
17, 5925, 1, 1048576
24, 6060, 1, 1048576
29, 5911, 1, 1048576
36, 6082, 1, 1048576
42, 6055, 1, 1048576
48, 5980, 1, 1048576
51, 3695, 1, 1048576
52, 429, 1, 1048576
55, 3086, 1, 1048576
59, 4510, 1, 1048576
64, 4818, 1, 1048576
68, 3392, 1, 1048576
73, 5179, 1, 1048576
78, 5203, 1, 1048576
83, 5401, 1, 1048576
89, 6045, 1, 1048576
94, 4926, 1, 1048576
97, 2943, 1, 1048576
102, 4689, 1, 1048576
108, 5801, 1, 1048576
112, 4201, 1, 1048576
112, 447, 1, 1048576
113, 844, 1, 1048576
115, 1862, 1, 1048576
119, 4122, 1, 1048576
125, 5755, 1, 1048576
130, 5313, 1, 1048576
131, 422, 1, 1048576
136, 4984, 1, 1048576
138, 2142, 1, 1048576
142, 4152, 1, 1048576
145, 3399, 1, 1048576
150, 4575, 1, 1048576
154, 4146, 1, 1048576
158, 3902, 1, 1048576
164, 5495, 1, 1048576
169, 5638, 1, 1048576
175, 5915, 1, 1048576
178, 3256, 1, 1048576
179, 431, 1, 1048576
182, 3218, 1, 1048576
184, 1952, 1, 1048576
190, 5796, 1, 1048576
196, 6142, 1, 1048576
202, 6058, 1, 1048576
206, 3658, 1, 1048576
209, 3305, 1, 1048576
213, 4337, 1, 1048576
218, 5002, 1, 1048576
219, 354, 1, 1048576
223, 4155, 1, 1048576
223, 434, 1, 1048576
228, 4651, 1, 1048576
232, 4217, 1, 1048576
235, 2684, 1, 1048576
238, 3115, 1, 1048576
241, 3443, 1, 1048576
245, 3622, 1, 1048576
248, 2831, 1, 1048576
251, 2740, 1, 1048576
255, 4157, 1, 1048576
260, 5346, 1, 1048576
260, 347, 1, 1048576
261, 852, 1, 1048576
267, 6024, 1, 1048576
273, 5535, 1, 1048576
277, 4475, 1, 1048576
281, 3249, 1, 1048576
287, 6212, 1, 1048576
292, 5471, 1, 1048576
295, 3219, 1, 1048576
298, 2033, 1, 1048576
303, 5257, 1, 1048576
303, 538, 1, 1048576
304, 383, 1, 1048576
308, 3860, 1, 1048576
309, 1278, 1, 1048576
312, 2911, 1, 1048576
316, 4295, 1, 1048576
317, 480, 1, 1048576
323, 6111, 1, 1048576
326, 3404, 1, 1048576
331, 4746, 1, 1048576
334, 3071, 1, 1048576
338, 4499, 1, 1048576
339, 797, 1, 1048576
343, 4151, 1, 1048576
344, 354, 1, 1048576
347, 3004, 1, 1048576
349, 2316, 1, 1048576
354, 4675, 1, 1048576
357, 3234, 1, 1048576
362, 5389, 1, 1048576
365, 2849, 1, 1048576
366, 401, 1, 1048576
370, 4654, 1, 1048576
374, 4153, 1, 1048576
379, 4532, 1, 1048576
383, 3596, 1, 1048576
385, 2115, 1, 1048576
386, 1562, 1, 1048576
390, 3276, 1, 1048576
391, 1587, 1, 1048576
397, 5504, 1, 1048576
397, 346, 1, 1048576
400, 3384, 1, 1048576
403, 3091, 1, 1048576
408, 4700, 1, 1048576
411, 2529, 1, 1048576
411, 675, 1, 1048576
412, 362, 1, 1048576
415, 3006, 1, 1048576
419, 4521, 1, 1048576
421, 1267, 1, 1048576
421, 378, 1, 1048576
422, 1001, 1, 1048576
